Substance(s) active(s),P.Comm,Société,Fabricant
Fenpropidine +Propiconazole,Zenith 575 EC,SOLAGRI,SYNGENTA
Fenpropimorphe + Epoxiconazole + Metrafenone,Non spécifié,Non spécifié,Non spécifié
Fluoxastrobine + Tebuconazole,Evito T,EL MOUSSEM AGRICOLE,ARYSTA LIFESCIENCE
Flutriafol,Impact S,AGRIPROTEC,CHEMINOVA/FMC
Folpel +Benalaxyl +cymoxanil,CIFOXIL WP,promochimie,SIPCAM INAGRA
Folpel +Benalaxyl +cymoxanil,FOBECI,INNOVA,SIPCAM INAGRA
Folpet+ Foséthyl-Al,Mikal Flash,SEPCM,BAYER CROPSCIENCE
Hydroxyde de cuivre +Métalaxyl,CYCLO-R-LIQUIDE,EL KHADRA,INDUSTRIAS AFRASA
Hymexazole,Tachigaren,AGRIPROTEC,"Mitsui Chemicals Agro,Inc"
Iprovalicarbe +Oxychlorure de cuivre,Positron 49,ATLAS AGRICOLE,BAYER CROPSCIENCE
Isofetamid,Kenja SC,Agriprotec,ISK Biosciences Europe N.V(fabricant)/upl(fournisseur)
Krésoxim-méthyl,Kresoxystar 350SC,Ets Mezghani,ANHUI HUAXING CHEMICAL INDUSTRY CO.Ltd/CHINE(Nanjingagrochem
Krésoxim-méthyl,Stroby DF,STIMA,BASF
Pyriofenone,KUSABI SC,AGRIPROTEC,ISK Biosciences Europe N.V/UPL
Mancozèbe,Maynozebe,AMINCO,AGRIA SA
Manèbe,Trimangol,STEC,CEREXAGRI
Penconazole,Topaze 100,BIOPROTECTION,SYNGENTA
Pencycuron,Monceren,PROMOCHIMIE,BAYER
Prochloraze +Triticonazole,Kinto Duo,STIMA,BASF
Propamocarbe,PROMORE 722 SL,Ets MEZGHANI,ASTRACHEM
Propamocarbe,Promess,JADWA AGROTEC,ARYSTA Life Science Benelux / Belgique/arystalifescience
Sedaxane+Fludioxonil,VIBRANCE DUO FS,BIOPROTECTION,SYNGENTA AGRO AG
