row_id,Produit Commercial,Substance Active,eu_overall_status,eu_status_details,substance_unit_1,substance_normalized_1,candidate_1_1,score_1_1,candidate_1_1_status,candidate_1_1_url,candidate_1_2,score_1_2,candidate_1_2_status,candidate_1_2_url,candidate_1_3,score_1_3,candidate_1_3_status,candidate_1_3_url,candidate_1_4,score_1_4,candidate_1_4_status,candidate_1_4_url,candidate_1_5,score_1_5,candidate_1_5_status,candidate_1_5_url,review_decision_1,review_match_name_1,review_notes_1,substance_unit_2,substance_normalized_2,candidate_2_1,score_2_1,candidate_2_1_status,candidate_2_1_url,candidate_2_2,score_2_2,candidate_2_2_status,candidate_2_2_url,candidate_2_3,score_2_3,candidate_2_3_status,candidate_2_3_url,candidate_2_4,score_2_4,candidate_2_4_status,candidate_2_4_url,candidate_2_5,score_2_5,candidate_2_5_status,candidate_2_5_url,review_decision_2,review_match_name_2,review_notes_2,substance_unit_3,substance_normalized_3,candidate_3_1,score_3_1,candidate_3_1_status,candidate_3_1_url,candidate_3_2,score_3_2,candidate_3_2_status,candidate_3_2_url,candidate_3_3,score_3_3,candidate_3_3_status,candidate_3_3_url,candidate_3_4,score_3_4,candidate_3_4_status,candidate_3_4_url,candidate_3_5,score_3_5,candidate_3_5_status,candidate_3_5_url,review_decision_3,review_match_name_3,review_notes_3,substance_unit_4,substance_normalized_4,candidate_4_1,score_4_1,candidate_4_1_status,candidate_4_1_url,candidate_4_2,score_4_2,candidate_4_2_status,candidate_4_2_url,candidate_4_3,score_4_3,candidate_4_3_status,candidate_4_3_url,candidate_4_4,score_4_4,candidate_4_4_status,candidate_4_4_url,candidate_4_5,score_4_5,candidate_4_5_status,candidate_4_5_url,review_decision_4,review_match_name_4,review_notes_4
1990,Aminogibb,Acide gibberellique,NOT_FOUND_OR_NEEDS_MANUAL_REVIEW,acid gibberellique:Unresolved(score=86.0),acid gibberellique,acid gibberellique,Folic acid,86.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=741,Fatty acids / Isobutyric acid,86.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=1000,Pelargonic acid (CAS 112-05-0),86.0,Approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=959,Lactic acid,86.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=995,Amino acids: gamma aminobutyric acid,82.5,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=331,review_accept_high_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,Biopower SL,Sodium lauryl ether sulfate,NOT_FOUND_OR_NEEDS_MANUAL_REVIEW,sodium lauryl ether sulfate:Unresolved(score=86.0),sodium lauryl ether sulfate,sodium lauryl ether sulfate,Sodium propionate,86.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=1158,Thiosultap sodium,86.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=808,Sodium carbonate,86.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=1140,Sodium tetraborate,86.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=1160,2-Phenylphenol (incl. sodium salt orthophenyl phenol),82.9,Approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=1013,review_accept_high_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,,(SLES),NOT_FOUND_OR_NEEDS_MANUAL_REVIEW,sles:Unresolved(score=77.0),sles,sles,Acridinic bases,77.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=1055,Plant oils / Lemongrass oil,68.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=305,Repellents: Essential oils,68.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=1026,Chlorantraniliprole,60.0,Approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=526,Esprocarb,60.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=677,review_accept_high_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,Fitogib,Acide gibberellique,NOT_FOUND_OR_NEEDS_MANUAL_REVIEW,acid gibberellique:Unresolved(score=86.0),acid gibberellique,acid gibberellique,Folic acid,86.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=741,Fatty acids / Isobutyric acid,86.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=1000,Pelargonic acid (CAS 112-05-0),86.0,Approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=959,Lactic acid,86.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=995,Amino acids: gamma aminobutyric acid,82.5,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=331,review_accept_high_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,GIB GRO,Acide gibberellique,NOT_FOUND_OR_NEEDS_MANUAL_REVIEW,acid gibberellique:Unresolved(score=86.0),acid gibberellique,acid gibberellique,Folic acid,86.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=741,Fatty acids / Isobutyric acid,86.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=1000,Pelargonic acid (CAS 112-05-0),86.0,Approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=959,Lactic acid,86.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=995,Amino acids: gamma aminobutyric acid,82.5,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=331,review_accept_high_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,bouteilles ou/et en,Protéines+Borax,NOT_FOUND_OR_NEEDS_MANUAL_REVIEW,proteines:Unresolved(score=84.0) | borax:Unresolved(score=72.0),proteines,proteines,Hydrolysed proteins,84.0,Approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=132,Olein,72.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=920,Propineb,71.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=76,Rotenone,71.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=1124,Barium polysulphide,52.5,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=438,review_accept_high_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,,+phenothiol,NOT_FOUND_OR_NEEDS_MANUAL_REVIEW,phenothiol:Unresolved(score=81.0),phenothiol,phenothiol,Carbophenothion,81.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=512,Phenothrin (aka Sumithrin),76.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=974,Pyridaphenthion,76.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=1096,Phenols,71.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=1388,Phenthoate,70.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=849,review_accept_high_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,KEY,"Trimethylamine HCl +1,4-",NOT_FOUND_OR_NEEDS_MANUAL_REVIEW,trimethylamine hcl:Unresolved(score=86.0),trimethylamine hcl,trimethylamine hcl,Trimethylamine hydrochloride,86.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=182,Cinmethylin,74.0,Pending,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=1421,"1,3,7-trimethylxanthine (caffeine)",72.5,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=1432,Methomyl,68.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=218,Fosamine,66.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=750,review_accept_high_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,diaminobutane (Putrescine),NOT_FOUND_OR_NEEDS_MANUAL_REVIEW,diaminobutane putrescine:Unresolved(score=88.0),diaminobutane putrescine,diaminobutane putrescine,"Putrescine (1,4-Diaminobutane)",88.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=1086,Diazinon,72.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=612,EPTC (S-dipropylthiocarbamate),50.2,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=702,DADZ  (zinc-dimethylditiocarbamate),50.1,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=597,Hexamethylene tetramine (urotropin),49.9,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=128,review_accept_high_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,+DDVP,NOT_FOUND_OR_NEEDS_MANUAL_REVIEW,ddvp:Unresolved(score=57.0),ddvp,ddvp,DDT,57.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=600,DADZ  (zinc-dimethylditiocarbamate),55.6,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=597,Dodecyl acetate (SCLP Acetates),51.0,Approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=837,Dimethenamid-P,51.0,Approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=641,Dodecan-1-ol (SCLP Alcohols),51.0,Approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=1064,review_accept_high_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
