SUBSTANCE(S) ACTIVE(S),P.COMM,SOCIÉTÉ,FABRICANT,SUBSTANCE_ACTIVE_1,SUBSTANCE_UNIT_1,SUBSTANCE_Corr_1,SUBSTANCE_ACTIVE_2,SUBSTANCE_UNIT_2,SUBSTANCE_Corr_2,SUBSTANCE_ACTIVE_3,SUBSTANCE_UNIT_3,SUBSTANCE_Corr_3,SUBSTANCE_ACTIVE_4,SUBSTANCE_UNIT_4,SUBSTANCE_Corr_4,SOCIÉTÉ_CANONIQUE,FABRICANT_CANONIQUE,Status_Glb
PYRIPROXYFENE,BRAI EC,RAYEN PHYTAGRI,LAINCO SA,PYRIPROXYFENE,PYRIPROXYFENE,PYRIPROXYFENE,,,,,,,,,,RAYEN PHYTAGRI,LAINCO SA,
PYRIPROXYFENE,MULIGAN,AGRIPROTEC,PROPLAN,PYRIPROXYFENE,PYRIPROXYFENE,PYRIPROXYFENE,,,,,,,,,,AGRIPROTEC,PROPLAN,
PYRIPROXYFENE,PROXIMO EC,EL KHADRA,INDUSTRIAS,PYRIPROXYFENE,PYRIPROXYFENE,PYRIPROXYFENE,,,,,,,,,,EL KHADRA,INDUSTRIAS,
PYROXASULFONE,YAMATO 85 WG,AGRIMATCO,KUMAI CHEMICAL INDUSTRY,PYROXASULFONE,PYROXASULFONE,PYROXASULFONE,,,,,,,,,,AGRIMATCO,KUMAI INDUSTRY,Not Approved
PYROXSULAM,PALLAS 45 OD,SEPCM,DOW AGROSCIENCES,PYROXSULAM,PYROXSULAM,PYROXSULAM,,,,,,,,,,SEPCM,DOW AGROSCIENCES,
PYROXSULAM,PRIORITY,ATLAS AGRICOLE,DOW AGROSCIENCES,PYROXSULAM,PYROXSULAM,PYROXSULAM,,,,,,,,,,ATLAS,DOW AGROSCIENCES,
PYROXSULAM +FLORASULAM +CLOQUINTOCETMEXYL,FLORAMIX,SEPCM,DOW AGROSCIENCES,PYROXSULAM,PYROXSULAM,PYROXSULAM,FLORASULAM,FLORASULAM,FLORASULAME,CLOQUINTOCETMEXYL,CLOQUINTOCETMEXYL,CLOQUINTOCET –MEXYL,,,,SEPCM,DOW AGROSCIENCES,
PYTHIUM OLIGANDRUM,POLYVERSUM,FERTIPLANT,BIOPREPARATY,PYTHIUM OLIGANDRUM,PYTHIUM OLIGANDRUM,PYTHIUM OLIGANDRUM,,,,,,,,,,FERTIPLANT,BIOPREPARATY,
QUIZALOFOP –P-ETHYL,JAGUAR 100 EC,EL KHADRA,"JIANGSU FENGSHAN GROUP CO,LTD/NANJING FENGSHAN CHEMICAL",QUIZALOFOP –P-ETHYL,QUIZALOFOP –P-ETHYL,QUIZALOFOP –P-ETHYL,,,,,,,,,,EL KHADRA,JIANGSU FENGSHAN GROUP NANJING FENGSHAN,
QUIZALOFOP –P-ETHYL,SYMBA EC,AGRIPLUS,"JIANGSU FENGSHAN GROUP CO,LTD",QUIZALOFOP –P-ETHYL,QUIZALOFOP –P-ETHYL,QUIZALOFOP –P-ETHYL,,,,,,,,,,AGRIPLUS,JIANGSU FENGSHAN GROUP,
REYNOUTRIA SACHALINENSIS,REYSANA,BIOPROTECTION,ELEPHANT VERT EUROPE SA,REYNOUTRIA SACHALINENSIS,REYNOUTRIA SACHALINENSIS,REYNOUTRIA SACHALINENSIS,,,,,,,,,,BIOPROTECTION,ELEPHANT VERT EUROPE SA,Pending
S-METOLACHLOR,DUAL GOLD 960 EC,AGRIPROTEC,SYNGENTA,S-METOLACHLOR,S-METOLACHLOR,S-METOLACHLOR,,,,,,,,,,AGRIPROTEC,SYNGENTA,Not Approved
S-METOLACHLOR,TENDER 960 EC,SOLAGRI,SYNGENTA,S-METOLACHLOR,S-METOLACHLOR,S-METOLACHLOR,,,,,,,,,,SOLAGRI,SYNGENTA,Not Approved
SAFLUFENACIL,HEAT,AGRIPROTEC,BASF CORPORATION,SAFLUFENACIL,SAFLUFENACIL,SAFLUFENACIL,,,,,,,,,,AGRIPROTEC,BASF CORPORATION,Not Approved
SIMAZINE,SIMAKEY,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY/,SIMAZINE,SIMAZINE,SIMAZINE,,,,,,,,,,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY,Not Approved
SODIUM LAURYL ETHER SULFATE (SLES),BIOPOWER SL,ATLAS AGRICOLE,BAYER AG,SODIUM LAURYL ETHER SULFATE (SLES),SODIUM LAURYL ETHER SULFATE (SLES),SODIUM LAURYL ETHER SULFATE (SLES),,,,,,,,,,ATLAS,BAYER AG,Not Approved
SOUFRE,AGROSOUFRE,AGROSYSTEMES,AGROSTULLNGMBH,SOUFRE,SOUFRE,SOUFRE,,,,,,,,,,AGROSYSTEMES,AGROSTULLNGMBH,
SOUFRE,CABRIDUST,AGROSYSTEMES,THE NATIONAL COMPANY FOR AGROCHEMICALS(AGROCHEM),SOUFRE,SOUFRE,SOUFRE,,,,,,,,,,AGROSYSTEMES,THE NATIONAL FOR AGROCHEM,
SOUFRE,HELIOSOUFRE S,BIOPROTECTION,ACTION PIN/AAKO,SOUFRE,SOUFRE,SOUFRE,,,,,,,,,,BIOPROTECTION,ACTION PIN AAKO,
SOUFRE,KUMULUS DF,STIMA,BASF,SOUFRE,SOUFRE,SOUFRE,,,,,,,,,,STIMA,BASF,
SOUFRE,MICRO-CAP,NEGANOR,AGROW ALLIED,SOUFRE,SOUFRE,SOUFRE,,,,,,,,,,NEGANOR,AGROW ALLIED,
SOUFRE,MISTRAL,BIOPROTECTION,ESSECO SARL/AAKO,SOUFRE,SOUFRE,SOUFRE,,,,,,,,,,BIOPROTECTION,ESSECO AAKO,
SOUFRE,SOUFRUSTULLN,AMINCO,AGROSTULLNGMBH,SOUFRE,SOUFRE,SOUFRE,,,,,,,,,,AMINCO,AGROSTULLNGMBH,
SOUFRE,SULFINOVA 80WDG,AGRINOVA,AGROW ALLIED,SOUFRE,SOUFRE,SOUFRE,,,,,,,,,,AGRINOVA,AGROW ALLIED,
SOUFRE,SULFOMAX,EL KHARDA,AFEPASA,SOUFRE,SOUFRE,SOUFRE,,,,,,,,,,EL KHARDA,AFEPASA,
SOUFRE,SULFOSTAR DF,AGRIPROTEC,BASF,SOUFRE,SOUFRE,SOUFRE,,,,,,,,,,AGRIPROTEC,BASF,
SOUFRE,SULPEX,AGRIMATCO,AGROSTULLN GMBH,SOUFRE,SOUFRE,SOUFRE,,,,,,,,,,AGRIMATCO,AGROSTULLN,
SOUFRE,THIOMAX JET,COTUGRAIN,SYNGENTA,SOUFRE,SOUFRE,SOUFRE,,,,,,,,,,COTUGRAIN,SYNGENTA,
SOUFRE,THIOPRON SC,BIOPROTECTION,UPL,SOUFRE,SOUFRE,SOUFRE,,,,,,,,,,BIOPROTECTION,UPL,
SOUFRE,TIOSOL 80,ATLAS AGRICOLE,SIPCAM,SOUFRE,SOUFRE,SOUFRE,,,,,,,,,,ATLAS,SIPCAM,
SPINOSAD,SUCCESS SC,PROTAGRI,NANJING AGROHEMICAL CHINE,SPINOSAD,SPINOSAD,SPINOSADE,,,,,,,,,,PROTAGRI,NANJING AGROHEMICAL CHINE,
SPINOSADE,SPANVIC,UNIAGRO,SHANDONG,SPINOSADE,SPINOSADE,SPINOSADE,,,,,,,,,,UNIAGRO,SHANDONG,
SPINOSADE,SPINO 480 SC,EL KHADRA,"BAICO BIOTECH CO,LTD/",SPINOSADE,SPINOSADE,SPINOSADE,,,,,,,,,,EL KHADRA,BAICO BIOTECH,
SPINOSADE,SPINTOR,ATLAS AGRICOLE,DOW AGROSCIENCE/CORTEVA AGRISCIENCE,SPINOSADE,SPINOSADE,SPINOSADE,,,,,,,,,,ATLAS,DOW AGROSCIENCE CORTEVA AGRISCIENCE,
SPIRODICLOFEN,ACAROS SC,STEC,SHANDONG KANGQIAO NANJING AGROCHEMICAL,SPIRODICLOFEN,SPIRODICLOFEN,SPIRODICLOFEN,,,,,,,,,,STEC,SHANDONG KANGQIAO NANJING,Not Approved
SPIRODICLOFEN,ASKARI 240 SC,SEPCM,AAKO,SPIRODICLOFEN,SPIRODICLOFEN,SPIRODICLOFEN,,,,,,,,,,SEPCM,AAKO,Not Approved
SPIRODICLOFEN,BOLIDO 240 SC,PROMOCHIMIE,BAYER CROPSCIENCE/GOWAN,SPIRODICLOFEN,SPIRODICLOFEN,SPIRODICLOFEN,,,,,,,,,,PROMOCHIMIE,BAYER CROPSCIENCE GOWAN,Not Approved
SPIRODICLOFEN,ENVIDOR,STEC,BAYER CROPSCIENCE/GOWAN,SPIRODICLOFEN,SPIRODICLOFEN,SPIRODICLOFEN,,,,,,,,,,STEC,BAYER CROPSCIENCE GOWAN,Not Approved
SPIRODICLOFEN,SPIDER EXTRA SC,SANABEL AGRO,SHARDA CROPCHEM,SPIRODICLOFEN,SPIRODICLOFEN,SPIRODICLOFEN,,,,,,,,,,SANABEL AGRO,SHARDA CROPCHEM,Not Approved
SPIRODICLOFEN,SPIRIDOR 240 SC,SHARDA CROPCHEM TUNISIE,SHARDA CROPCHEM,SPIRODICLOFEN,SPIRODICLOFEN,SPIRODICLOFEN,,,,,,,,,,SHARDA CROPCHEM,SHARDA CROPCHEM,Not Approved
SPIRODICLOFEN,SPIROFEN,STE ELKHADRA,EASTCHEM CO.LTD,SPIRODICLOFEN,SPIRODICLOFEN,SPIRODICLOFEN,,,,,,,,,,STE ELKHADRA,EASTCHEM,Not Approved
SPIROMESIFEN,OBERON 240 SC,ATLAS AGRICOLE,BAYER CROPSCIENCE,SPIROMESIFEN,SPIROMESIFEN,SPIROMESIFEN,,,,,,,,,,ATLAS,BAYER CROPSCIENCE,Not Approved
SPIROPIDION,ELESTAL300 SC,BIOPROTECTION,SYNGENTA,SPIROPIDION,SPIROPIDION,SPIROPIDION,,,,,,,,,,BIOPROTECTION,SYNGENTA,
SPIROTETRAMAT,MAGNUS SC,STEC,AAKO,SPIROTETRAMAT,SPIROTETRAMAT,SPIROTETRAMAT,,,,,,,,,,STEC,AAKO,Not Approved
SPIROTETRAMAT,MOVENTO 150 OD,ATLAS AGRICOLE,BAYER CROPSCIENCE,SPIROTETRAMAT,SPIROTETRAMAT,SPIROTETRAMAT,,,,,,,,,,ATLAS,BAYER CROPSCIENCE,Not Approved
SPIROTETRAMAT,NATRAMAT 240SC,AGRIPROTEC,JIANGSU UNITED AGROCHEMICAL,SPIROTETRAMAT,SPIROTETRAMAT,SPIROTETRAMAT,,,,,,,,,,AGRIPROTEC,JIANGSU UNITED,Not Approved
SPIROXAMINE,PROSPER 300 CS,ATLAS AGRICOLE,BAYER CROPSCIENCE,SPIROXAMINE,SPIROXAMINE,SPIROXAMINE,,,,,,,,,,ATLAS,BAYER CROPSCIENCE,
SPIROXAMINE,PROSPER 500 EC,ATLAS AGRICOLE,BAYER CROPSCIENCE,SPIROXAMINE,SPIROXAMINE,SPIROXAMINE,,,,,,,,,,ATLAS,BAYER CROPSCIENCE,
SPIROXAMINE +DIFECONAZOLE,SPIROX D EC,BIOPROTECTION,ARYSTALIFESCIENCE/UPL,SPIROXAMINE,SPIROXAMINE,SPIROXAMINE,DIFECONAZOLE,DIFECONAZOLE,DIFECONAZOLE,,,,,,,BIOPROTECTION,ARYSTALIFESCIENCE UPL,
SPORES DE LECANICILLUMMUSCARIUM SOUCHE 1979,MYCOTAL WG,NUTRIPLANT,KOPPERT BIOLOGICAL SYSTEM,SPORES DE LECANICILLUMMUSCARIUM SOUCHE 1979,SPORES DE LECANICILLUMMUSCARIUM SOUCHE 1979,SPORES DE LECANICILLUMMUSCARIUM SOUCHE 1979,,,,,,,,,,NUTRIPLANT,KOPPERT BIOLOGICAL SYSTEM,
SULFATE DE CUIVRE + FOLPEL +CYMOXANIL,METEOR,EL MOUSSEM AGRICOLE,NUFARM,SULFATE DE CUIVRE,SULFATE DE CUIVRE,SULFATE DE CUIVRE,FOLPEL,FOLPEL,FOLPEL,CYMOXANIL,CYMOXANIL,CYMOXANIL,,,,EL MOUSSEM,NUFARM,
SULFATE DE CUIVRE TRIBASIQUE + ZOXAMIDE,AMALINE FLOW,EL MOUSSEM AGRICOLE,NUFARM,SULFATE DE CUIVRE TRIBASIQUE,SULFATE DE CUIVRE TRIBASIQUE,SULFATE DE CUIVRE TRIBASIQUE,ZOXAMIDE,ZOXAMIDE,ZOXAMIDE,,,,,,,EL MOUSSEM,NUFARM,
SULFATE DE CUIVRE TRIBASIQUE + ZOXAMIDE,VENTARO,STEC,NUFARM,SULFATE DE CUIVRE TRIBASIQUE,SULFATE DE CUIVRE TRIBASIQUE,SULFATE DE CUIVRE TRIBASIQUE,ZOXAMIDE,ZOXAMIDE,ZOXAMIDE,,,,,,,STEC,NUFARM,
SULFATE DE CUIVRE TRIBASIQUE,CUPROXAT,EL MOUSSEM AGRICOLE,NUFARM,SULFATE DE CUIVRE TRIBASIQUE,SULFATE DE CUIVRE TRIBASIQUE,SULFATE DE CUIVRE TRIBASIQUE,,,,,,,,,,EL MOUSSEM,NUFARM,
SULFATE DE CUIVRE TRIBASIQUE,MEXIRAM TRI HI BIO WG,EL MOUSSEM AGRICOLE,ALBAUGH EUROPE SARL,SULFATE DE CUIVRE TRIBASIQUE,SULFATE DE CUIVRE TRIBASIQUE,SULFATE DE CUIVRE TRIBASIQUE,,,,,,,,,,EL MOUSSEM,ALBAUGH EUROPE,
SULFATE DE CUIVRE TRIBASIQUE,NOVICURE,PROTAGRI,UPL,SULFATE DE CUIVRE TRIBASIQUE,SULFATE DE CUIVRE TRIBASIQUE,SULFATE DE CUIVRE TRIBASIQUE,,,,,,,,,,PROTAGRI,UPL,
SULFATE DE CUIVRE TRIBASIQUE,TRIBASE -FLOW SC,ATLAS AGRICOLE,NUFARM,SULFATE DE CUIVRE TRIBASIQUE,SULFATE DE CUIVRE TRIBASIQUE,SULFATE DE CUIVRE TRIBASIQUE,,,,,,,,,,ATLAS,NUFARM,
SULFATE DE CUIVRE TRIBASIQUE + CYMOXANIL,MOLTOVIN,BIOPROTECTION,NUFARM,SULFATE DE CUIVRE TRIBASIQUE,SULFATE DE CUIVRE TRIBASIQUE,SULFATE DE CUIVRE TRIBASIQUE,CYMOXANIL,CYMOXANIL,CYMOXANIL,,,,,,,BIOPROTECTION,NUFARM,
SULFATE TETRACUIVRIQUE TRICALCIQUE,BORDOCURE WG,FERTITECH,ALINTRA,SULFATE TETRACUIVRIQUE TRICALCIQUE,SULFATE TETRACUIVRIQUE TRICALCIQUE,SULFATE TETRACUIVRIQUE TRICALCIQUE,,,,,,,,,,FERTITECH,ALINTRA,
SULFATETETRACUIVRIQUE TRICALCIQUE + CYMOXANIL,CUPERTINE SUPER WP,FERTITECH,ALINTRA ESPAGNE,SULFATETETRACUIVRIQUE TRICALCIQUE,SULFATETETRACUIVRIQUE TRICALCIQUE,SULFATE TETRACUIVRIQUE TRICALCIQUE,CYMOXANIL,CYMOXANIL,CYMOXANIL,,,,,,,FERTITECH,ALINTRA ESPAGNE,
SULFOXAFLOR,CLOSER 240 SC,SEPCM,DOW AGROSCIENCE/CORTEVA,SULFOXAFLOR,SULFOXAFLOR,SULFOXAFLOR,,,,,,,,,,SEPCM,DOW AGROSCIENCE CORTEVA,
SULFOXAFLOR,TRANSFORM SC,EL BARAKA,DOW AGROSCIENCE/CORTEVA,SULFOXAFLOR,SULFOXAFLOR,SULFOXAFLOR,,,,,,,,,,EL BARAKA,DOW AGROSCIENCE CORTEVA,
SULPHATE DE CUIVRE TRIBASIQUE,CU MAX,RAYEN PHYTAGRI,DIACHEM S.P.A,SULPHATE DE CUIVRE TRIBASIQUE,SULPHATE DE CUIVRE TRIBASIQUE,SULFATE DE CUIVRE TRIBASIQUE,,,,,,,,,,RAYEN PHYTAGRI,DIACHEM S P A,
TEBUCONAZOLE +PROCHLORAZ,MYSTIC PRO,AGRIPROTEC,NUFARM SAS,TEBUCONAZOLE,TEBUCONAZOLE,TEBUCONAZOLE,PROCHLORAZ,PROCHLORAZ,PROCHLORAZE,,,,,,,AGRIPROTEC,NUFARM,Not Approved
