SUBSTANCE(S) ACTIVE(S),P.COMM,SOCIÉTÉ,FABRICANT,SUBSTANCE_ACTIVE_1,SUBSTANCE_UNIT_1,SUBSTANCE_Corr_1,SUBSTANCE_ACTIVE_2,SUBSTANCE_UNIT_2,SUBSTANCE_Corr_2,SUBSTANCE_ACTIVE_3,SUBSTANCE_UNIT_3,SUBSTANCE_Corr_3,SUBSTANCE_ACTIVE_4,SUBSTANCE_UNIT_4,SUBSTANCE_Corr_4,SOCIÉTÉ_CANONIQUE,FABRICANT_CANONIQUE,Status_Glb
TÉBUCONAZOLE,SPEEDY SC,EL KHADRA,NINGBO SUNJOY AGROSCIENCE INDUSTRY/CROPIDEA,TÉBUCONAZOLE,TÉBUCONAZOLE,TEBUCONAZOLE,,,,,,,,,,EL KHADRA,NINGBO SUNJOY AGROSCIENCE INDUSTRY CROPIDEA,
TÉBUCONAZOLE,SUPREME 25 EW,COTUGRAIN IMPEX,UPL LIMITED,TÉBUCONAZOLE,TÉBUCONAZOLE,TEBUCONAZOLE,,,,,,,,,,COTUGRAIN IMPEX,UPL,
TÉBUCONAZOLE,TEBUCUR,AGROSYSTEMES,GLOBACHEM,TÉBUCONAZOLE,TÉBUCONAZOLE,TEBUCONAZOLE,,,,,,,,,,AGROSYSTEMES,GLOBACHEM,
TÉBUCONAZOLE,TEBUNOVA SC,AGRINOVA,SHARDA,TÉBUCONAZOLE,TÉBUCONAZOLE,TEBUCONAZOLE,,,,,,,,,,AGRINOVA,SHARDA,
TÉBUCONAZOLE,TEBUZOL 25 EW,AGRIPROTEC,UPL LIMITED,TÉBUCONAZOLE,TÉBUCONAZOLE,TEBUCONAZOLE,,,,,,,,,,AGRIPROTEC,UPL,
TÉBUCONAZOLE,TESON,AMINCO,GLOBACHEM,TÉBUCONAZOLE,TÉBUCONAZOLE,TEBUCONAZOLE,,,,,,,,,,AMINCO,GLOBACHEM,
TEBUFENOZIDE,MIMIC 240 SC,EL MOUSSEM AGRICOLE,NIPPON SODA/JAPAN,TEBUFENOZIDE,TEBUFENOZIDE,TEBUFENOZIDE,,,,,,,,,,EL MOUSSEM,NIPPON SODA JAPAN,
TEFLUTHRINE,DIASTAR MAXI GR,RAYEN PHYTAGRI,DIACHEM,TEFLUTHRINE,TEFLUTHRINE,TEFLUTHRINE,,,,,,,,,,RAYEN PHYTAGRI,DIACHEM,
TEFLUTHRINE,VOLTRA 0.5 G,COTUGRAIN,SYNGENTA,TEFLUTHRINE,TEFLUTHRINE,TEFLUTHRINE,,,,,,,,,,COTUGRAIN,SYNGENTA,
TEPRALOXYDIM,ARAMO 50 EC,COTUGRAIN IMPEX,BASF,TEPRALOXYDIM,TEPRALOXYDIM,TEPRALOXYDIM,,,,,,,,,,COTUGRAIN IMPEX,BASF,Not Approved
TERBUTHYLAZINE,TERBUZINE 75 WG,PROMOCHIMIE,SIPCAM INAGRA,TERBUTHYLAZINE,TERBUTHYLAZINE,TERBUTHYLAZINE,,,,,,,,,,PROMOCHIMIE,SIPCAM INAGRA,
TERBUTHYLAZINE,TERBYNE 75 WG,EL KHADRA,SIPCAM INAGRA,TERBUTHYLAZINE,TERBUTHYLAZINE,TERBUTHYLAZINE,,,,,,,,,,EL KHADRA,SIPCAM INAGRA,
THIABENDAZOLE,BENAZOLE,EXCEL AGRI,SHARDA CROPCHEM,THIABENDAZOLE,THIABENDAZOLE,THIABENDAZOLE,,,,,,,,,,EXCEL AGRI,SHARDA CROPCHEM,
THIABENDAZOLE,TENAZOLE,SHARDA CROPCHEM TUNISIE,SHARDA CROPCHEM,THIABENDAZOLE,THIABENDAZOLE,THIABENDAZOLE,,,,,,,,,,SHARDA CROPCHEM,SHARDA CROPCHEM,
THIACLOPRIDE,CALYPSO,PROMOCHIMIE,BAYER CROPSCIENCE,THIACLOPRIDE,THIACLOPRIDE,THIACLOPRIDE,,,,,,,,,,PROMOCHIMIE,BAYER CROPSCIENCE,Not Approved
THIAMETHOXAM + LAMBDA-CYHALOTHRINE,ALIKA 247 ZC,COTUGRAIN IMPEX,SYNGENTA,THIAMETHOXAM,THIAMETHOXAM,THIAMETHOXAM,LAMBDA-CYHALOTHRINE,LAMBDA-CYHALOTHRINE,LAMBADA CYHALOTHRINE,,,,,,,COTUGRAIN IMPEX,SYNGENTA,Not Approved
THIAMÉTOXAM,RENOVA,PROTAGRI,UNITED PHOSPHORUS LTD,THIAMÉTOXAM,THIAMÉTOXAM,THIAMETHOXAM,,,,,,,,,,PROTAGRI,UNITED PHOSPHORUS,Not Approved
THIAMÉTOXAM,THIAMEX 25 WG,SLDA,UNITED PHOSPHORUS LTD,THIAMÉTOXAM,THIAMÉTOXAM,THIAMETHOXAM,,,,,,,,,,SLDA,UNITED PHOSPHORUS,Not Approved
THIOCYCLAME HYDROGÈNE OXALATE,EVISECT,BIOPROTECTION,NIPPON KAYAKU/,THIOCYCLAME HYDROGÈNE OXALATE,THIOCYCLAME HYDROGÈNE OXALATE,THIOCYCLAME HYDROGENE OXALATE,,,,,,,,,,BIOPROTECTION,NIPPON KAYAKU,Not Approved
THIOPHANATE ETHYL + IPRODIONE,IPROMISE,BIOPROTECTION,ARYSTALIFESCIENCE,THIOPHANATE ETHYL,THIOPHANATE ETHYL,THIOPHANATE ETHYL,IPRODIONE,IPRODIONE,IPRODIONE,,,,,,,BIOPROTECTION,ARYSTALIFESCIENCE,Not Approved
THIOPHANATE-METHYL,TIOKEY WP,ETS MEZGHANI,HAILI GUIXI CHEMICAL PESTICIDE CO.LTD,THIOPHANATE-METHYL,THIOPHANATE-METHYL,THIOPHANATE-METHYL,,,,,,,,,,ETS MEZGHANI,HAILI GUIXI PESTICIDE,Not Approved
THIOPHANATE-MÉTHYL,AGRIPHANATE,AGRIPROTEC,MEGHMANI INDUSTRIES,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,THIOPHANATE-METHYL,,,,,,,,,,AGRIPROTEC,MEGHMANI INDUSTRIES,Not Approved
THIOPHANATE-MÉTHYL,AURIGE 70,EL KHADRHA,SIPCAM INAGRA,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,THIOPHANATE-METHYL,,,,,,,,,,EL KHADRHA,SIPCAM INAGRA,Not Approved
THIOPHANATE-MÉTHYL,CAP-TOP,NEGANOR,NANJIG(JIANGSU LANFENG BIOCHEMICAL(FABRICANT)),THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,THIOPHANATE-METHYL,,,,,,,,,,NEGANOR,NANJIG JIANGSU LANFENG BIOCHEMICAL FABRICANT,Not Approved
THIOPHANATE-MÉTHYL,LAGROPHANATE 70,STEC,CEQUISA / PHOSPHONIA/UPL,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,THIOPHANATE-METHYL,,,,,,,,,,STEC,CEQUISA PHOSPHONIA UPL,Not Approved
THIOPHANATE-MÉTHYL,METHYL-T,BIOPROTECTION,ARYSTA LIFESCIENCE,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,THIOPHANATE-METHYL,,,,,,,,,,BIOPROTECTION,ARYSTA LIFESCIENCE,Not Approved
THIOPHANATE-MÉTHYL,MIL TOP,DELTA AGRICOLE PLUS,MEGHMANI INDUSTRIES,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,THIOPHANATE-METHYL,,,,,,,,,,DELTA PLUS,MEGHMANI INDUSTRIES,Not Approved
THIOPHANATE-MÉTHYL,PELT 500 SC,ATLAS AGRICOLE,BAYER AG.,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,THIOPHANATE-METHYL,,,,,,,,,,ATLAS,BAYER AG,Not Approved
THIOPHANATE-MÉTHYL,PROLATOP,EL MOUSSEM AGRICOLE,NUFARM,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,THIOPHANATE-METHYL,,,,,,,,,,EL MOUSSEM,NUFARM,Not Approved
THIOPHANATE-MÉTHYL,RACHET WP,AGRIPROTEC,NUFARM,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,THIOPHANATE-METHYL,,,,,,,,,,AGRIPROTEC,NUFARM,Not Approved
THIOPHANATE-MÉTHYL,SEGNOR 70 WP,SANABEL AGRO,UPL,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,THIOPHANATE-METHYL,,,,,,,,,,SANABEL AGRO,UPL,Not Approved
THIOPHANATE-MÉTHYL,STARNET 70 WG,PROMOCHIMIE,BAYER CROPSCIENCE,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,THIOPHANATE-METHYL,,,,,,,,,,PROMOCHIMIE,BAYER CROPSCIENCE,Not Approved
THIOPHANATE-MÉTHYL,THIO 50 SC,COTUGRAIN,SHARDA CROPCHEM,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,THIOPHANATE-METHYL,,,,,,,,,,COTUGRAIN,SHARDA CROPCHEM,Not Approved
THIOPHANATE-MÉTHYL,THIOMIL,PROTAGRI,MEGHMANI INDUSTRIES,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,THIOPHANATE-METHYL,,,,,,,,,,PROTAGRI,MEGHMANI INDUSTRIES,Not Approved
THIOPHANATE-MÉTHYL,THIOPHANATE,AGRIMED DISTRIBUTION,MEGHMANI INDUSTRIES,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,THIOPHANATE-METHYL,,,,,,,,,,AGRIMED DISTRIBUTION,MEGHMANI INDUSTRIES,Not Approved
THIOPHANATE-MÉTHYL,THIOPHANATE M,AGRIMED DISTRIBUTION,MEGHMANI INDUSTRIES,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,THIOPHANATE-METHYL,,,,,,,,,,AGRIMED DISTRIBUTION,MEGHMANI INDUSTRIES,Not Approved
THIOPHANATE-MÉTHYL,THIOPHYL 50 SC,SHARDA,SHARDA CROPCHEM,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,THIOPHANATE-METHYL,,,,,,,,,,SHARDA,SHADRA CROPCHEM,Not Approved
THIOPHANATE-MÉTHYL,THIOPHYL 50 SC,SHARDA CROPCHEM TUNISIE,SHARDA CROPCHEM,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,THIOPHANATE-METHYL,,,,,,,,,,SHARDA CROPCHEM,SHARDA CROPCHEM,Not Approved
THIOPHANATE-MÉTHYL,TOP PLUS,SOCOOPEC,AGRIA S.A,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,THIOPHANATE-METHYL,,,,,,,,,,SOCOOPEC,AGRIA S A,Not Approved
TOLFENPYRADE,HACHI-HACHI EC,EL KHADRA,SIPCAM INAGRA,TOLFENPYRADE,TOLFENPYRADE,TOLFENPYRADE,,,,,,,,,,EL KHADRA,SIPCAM INAGRA,Not Approved
TREBUNIRON-METHYL + FLORASULAME,FLAME DUO SG,SOLAGRI,ALBAUGH,TREBUNIRON-METHYL,TREBUNIRON-METHYL,TREBUNIRON-METHYL,FLORASULAME,FLORASULAME,FLORASULAME,,,,,,,SOLAGRI,ALBAUGH,
TRIADIMENOL + SPIROXAMINE + TEBUCONAZOLE,FALCON 460 SC,AGRONOMIC LAND,BAYER CROPSCIENCE,TRIADIMENOL,TRIADIMENOL,TRIADIMENOL,SPIROXAMINE,SPIROXAMINE,SPIROXAMINE,TEBUCONAZOLE,TEBUCONAZOLE,TEBUCONAZOLE,,,,AGRONOMIC LAND,BAYER CROPSCIENCE,Not Approved
TRIBENURON METHYL + FLORASULAM,BOMBA WG,EL KHADRA,JSC(AVGUST),TRIBENURON METHYL,TRIBENURON METHYL,TREBUNIRON-METHYL,FLORASULAM,FLORASULAM,FLORASULAME,,,,,,,EL KHADRA,JSC AVGUST,
TRIBENURON METHYL + FLORASULAM,TRIFLOS,NEGANOR FFT,JSC(AVGUST),TRIBENURON METHYL,TRIBENURON METHYL,TREBUNIRON-METHYL,FLORASULAM,FLORASULAM,FLORASULAME,,,,,,,NEGANOR FFT,JSC AVGUST,
TRIBENURON-METHYL,CORIDA 75 WG,SOCOOPEC,AGRIA,TRIBENURON-METHYL,TRIBENURON-METHYL,TREBUNIRON-METHYL,,,,,,,,,,SOCOOPEC,AGRIA,
TRIBENURON-METHYL,LUXOR,SANABEL AGRO,SHARDA CROPCHEM LIMITED INDE,TRIBENURON-METHYL,TRIBENURON-METHYL,TREBUNIRON-METHYL,,,,,,,,,,SANABEL AGRO,SHARDA CROPCHEM INDE,
TRIBENURON-METHYL,NUANCE,AGROSYSTEMES,CHEMINOVA,TRIBENURON-METHYL,TRIBENURON-METHYL,TREBUNIRON-METHYL,,,,,,,,,,AGROSYSTEMES,CHEMINOVA,
TRIBENURON-METHYL,SKYLLA WDG,AGRONOMIC LAND,ROTAM AGROCHEMICAL CO.LTD,TRIBENURON-METHYL,TRIBENURON-METHYL,TREBUNIRON-METHYL,,,,,,,,,,AGRONOMIC LAND,ROTAM,
TRIBENURON-METHYL,TOSCANA,AGRIPROTEC,PROPLAN/QUME TICA AGRICULTURAL SOLUTIONS SPAIN SLU,TRIBENURON-METHYL,TRIBENURON-METHYL,TREBUNIRON-METHYL,,,,,,,,,,AGRIPROTEC,PROPLAN QUME TICA AGRICULTURAL SOLUTIONS SPAIN SLU,
TRIBENURON-METHYL,TRIBUNEO 75 G,SSCC,AGRIA,TRIBENURON-METHYL,TRIBENURON-METHYL,TREBUNIRON-METHYL,,,,,,,,,,SSCC,AGRIA,
TRIBENURON-METHYL,VOLTEO 75 WG,EL KHADRA,INDUSTRIAS AFRAZA/ALBAU GH EUROPE SARL,TRIBENURON-METHYL,TRIBENURON-METHYL,TREBUNIRON-METHYL,,,,,,,,,,EL KHADRA,INDUSTRIAS AFRAZA ALBAU GH EUROPE,
TRICHODERMA ASPERELLUM ICC012: +TRICHODERMA GAMSII ICC080:,REMEDIER WP,STIMA,ISAGRO SPA/GOWAN,TRICHODERMA ASPERELLUM ICC012:,TRICHODERMA ASPERELLUM ICC012:,TRICHODERMA ASPERELLUM ICC012,TRICHODERMA GAMSII ICC080:,TRICHODERMA GAMSII ICC080:,TRICHODERMA GAMSII ICC080,,,,,,,STIMA,ISAGRO GOWAN,
TRICHODERMA ATROVIRIDE 77B,T-77 WP,ALOHA AGRICULTURE,PLANT HEALTH PRODUCTS (PHY),TRICHODERMA ATROVIRIDE 77B,TRICHODERMA ATROVIRIDE 77B,TRICHODERMA ATROVIRIDE 77B,,,,,,,,,,ALOHA,PLANT HEALTH PRODUCTS PHY,Pending
TRICHODERMAHARZIANUM T-22,TRIANUM –P,NUTRIPLANT,KOPPERT BIOLOGICAL SYSTEMS,TRICHODERMAHARZIANUM T-22,TRICHODERMAHARZIANUM T-22,TRICHODERMAHARZIANUM T-22,,,,,,,,,,NUTRIPLANT,KOPPERT BIOLOGICAL SYSTEMS,Pending
TRIFLOXYSTROBIN,FLINT,PROMOCHIMIE,BAYER CROPSCIENCE,TRIFLOXYSTROBIN,TRIFLOXYSTROBIN,TRIFLOXYSTROBINE,,,,,,,,,,PROMOCHIMIE,BAYER CROPSCIENCE,
TRIFLOXYSTROBIN,ZATO 50 WG,ATLAS AGRICOLE,BAYER CROPSCIENCE,TRIFLOXYSTROBIN,TRIFLOXYSTROBIN,TRIFLOXYSTROBINE,,,,,,,,,,ATLAS,BAYER CROPSCIENCE,
TRIFLUMURON,ALSYSTIN 480 SC,PROMOCHIMIE,BAYER CROPSCIENCE,TRIFLUMURON,TRIFLUMURON,TRIFLUMURON,,,,,,,,,,PROMOCHIMIE,BAYER CROPSCIENCE,Not Approved
TRIFLURALINE,FLURAL,ETS MEZGHANI,INDUSTRIAL Q.,TRIFLURALINE,TRIFLURALINE,TRIFLURALINE,,,,,,,,,,ETS MEZGHANI,INDUSTRIAL Q,Not Approved
TRIFLURALINE,HERBALINE,SEPCM,AAKO,TRIFLURALINE,TRIFLURALINE,TRIFLURALINE,,,,,,,,,,SEPCM,AAKO,Not Approved
TRIFLURALINE,HERBASTAR EC,AGRIPLUS,"JIANGSU FENGSHAN GROUP CO,LTD",TRIFLURALINE,TRIFLURALINE,TRIFLURALINE,,,,,,,,,,AGRIPLUS,JIANGSU FENGSHAN GROUP,Not Approved
TRIFLURALINE,RALINE 480 EC,EL KHADRA,JIANGSU,TRIFLURALINE,TRIFLURALINE,TRIFLURALINE,,,,,,,,,,EL KHADRA,JIANGSU,Not Approved
TRIFLUSULFURON METHYL,SAFARI 50 WG,SEPCM,FMC,TRIFLUSULFURON METHYL,TRIFLUSULFURON METHYL,TRIFLUSULFURON METHYL,,,,,,,,,,SEPCM,FMC,
ZIRAME,THIONICAUTODISPERS IBLE,AGROSYSTEMES,TAMINCO/EASTMAN,ZIRAME,ZIRAME,ZIRAME,,,,,,,,,,AGROSYSTEMES,TAMINCO EASTMAN,
