SUBSTANCE(S) ACTIVE(S),P.COMM,SOCIÉTÉ,FABRICANT,SUBSTANCE_ACTIVE_1,SUBSTANCE_UNIT_1,SUBSTANCE_ACTIVE_2,SUBSTANCE_UNIT_2,SUBSTANCE_ACTIVE_3,SUBSTANCE_UNIT_3,SUBSTANCE_ACTIVE_4,SUBSTANCE_UNIT_4,SOCIÉTÉ_CANONIQUE,FABRICANT_CANONIQUE
GLYPHOSATE,KLEEN UP,BIOPROTECTION,NUFARM,GLYPHOSATE,GLYPHOSATE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,NUFARM
BRODIFACOUM,KLERAT,AGRIPROTEC,SYNGENTA,BRODIFACOUM,BRODIFACOUM,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,SYNGENTA
TÉBUCONAZOLE,KONAN EW,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY,TÉBUCONAZOLE,TÉBUCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY
CHLORANTRANILIPROLE,KORTEX,NEGANOR FFT,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD,CHLORANTRANILIPROLE,CHLORANTRANILIPROLE,N/A,N/A,N/A,N/A,N/A,N/A,NEGANOR FFT,SHANDONG WEIFANG RAINBOW
KRÉSOXIM-MÉTHYL,KRESOXYSTAR 350SC,ETS MEZGHANI,ANHUI HUAXING CHEMICAL INDUSTRY CO.LTD/CHINE(NANJINGAGROCHEM,KRÉSOXIM-MÉTHYL,KRÉSOXIM-MÉTHYL,N/A,N/A,N/A,N/A,N/A,N/A,ETS MEZGHANI,ANHUI HUAXING INDUSTRY CHINE NANJINGAGROCHEM
PYRETHRINES,KRISANT EC,PROMOCHIMIE,SIPCAM INGRA ESPAGNE,PYRETHRINES,PYRETHRINES,N/A,N/A,N/A,N/A,N/A,N/A,PROMOCHIMIE,SIPCAM INGRA ESPAGNE
MÉTHOMYL,KUIK 400 SP,SANABEL AGRO,ROTAM AGROCHEMICAL,MÉTHOMYL,MÉTHOMYL,N/A,N/A,N/A,N/A,N/A,N/A,SANABEL AGRO,ROTAM
SOUFRE,KUMULUS DF,STIMA,BASF,SOUFRE,SOUFRE,N/A,N/A,N/A,N/A,N/A,N/A,STIMA,BASF
LAMBDA-CYHALOTHRINE,KUNG FU,SOLAGRI,SYNGENTA,LAMBDA-CYHALOTHRINE,LAMBDA-CYHALOTHRINE,N/A,N/A,N/A,N/A,N/A,N/A,SOLAGRI,SYNGENTA
PYRIOFENONE,KUSABI SC,AGRIPROTEC,ISK BIOSCIENCES EUROPE N.V/UPL,PYRIOFENONE,PYRIOFENONE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,ISK BIOSCIENCES EUROPE N V UPL
2.4-D + GLYPHOSPHATE,KYLEO,EL MOUSSEM AGRICOLE,NUFARM,2.4-D,2.4-D,GLYPHOSPHATE,GLYPHOSPHATE,N/A,N/A,N/A,N/A,EL MOUSSEM,NUFARM
THIOPHANATE-MÉTHYL,LAGROPHANATE 70,STEC,CEQUISA / PHOSPHONIA/UPL,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,N/A,N/A,N/A,N/A,N/A,N/A,STEC,CEQUISA PHOSPHONIA UPL
HUILE DE PARAFFINIQUE,LAINCOIL EC,FERTITECH,LAINCO,HUILE DE PARAFFINIQUE,HUILE DE PARAFFINIQUE,N/A,N/A,N/A,N/A,N/A,N/A,FERTITECH,LAINCO
PYRIMETHANIL,LAITANE SC,RAYEN PHYTAGRI,"LAINCO ,S,A/ESPAGNE",PYRIMETHANIL,PYRIMETHANIL,N/A,N/A,N/A,N/A,N/A,N/A,RAYEN PHYTAGRI,LAINCO S A ESPAGNE
LAMBDA-CYHALOTHRINE,LAMBDATROL,AGRIPROTEC,SIPCAM INAGRA,LAMBDA-CYHALOTHRINE,LAMBDA-CYHALOTHRINE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,SIPCAM INAGRA
AMINOPYRALYDES + FLORASULAM,LANCELOT 450 WG,SEPCM,DOW AGROSCIENCES,AMINOPYRALYDES,AMINOPYRALYDES,FLORASULAM,FLORASULAM,N/A,N/A,N/A,N/A,SEPCM,DOW AGROSCIENCES
AMINOPYRALYDES + FLORASULAM,LANCELOT NEO 450 WG,SEPCM,DOW AGROSCIENCES,AMINOPYRALYDES,AMINOPYRALYDES,FLORASULAM,FLORASULAM,N/A,N/A,N/A,N/A,SEPCM,DOW AGROSCIENCES
MÉTHOMYL,LANNATE 20 L,SEPCM,DU PONT,MÉTHOMYL,MÉTHOMYL,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,DU PONT
MÉTHOMYL,LANNATE 25,SEPCM,DU PONT (TAIWAN) AGRISCIENCE/CORTEVA,MÉTHOMYL,MÉTHOMYL,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,DU PONT TAIWAN AGRISCIENCE CORTEVA
ABAMECTINE,LAOTTA,ATLAS AGRICOLE,LAINCO,ABAMECTINE,ABAMECTINE,N/A,N/A,N/A,N/A,N/A,N/A,ATLAS,LAINCO
CHLORANTRANILIPROLE + LAMBDACYHALOTHRIN,LASTROLE EC,UNIAGRO,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD,CHLORANTRANILIPROLE,CHLORANTRANILIPROLE,LAMBDACYHALOTHRIN,LAMBDACYHALOTHRIN,N/A,N/A,N/A,N/A,UNIAGRO,SHANDONG WEIFANG RAINBOW
AZOXYSTROBINE,LEGADO 250 SC,EL KHADRA,INDUSTRIAS AFRAZA/ALBAUGH EUROPE SARL,AZOXYSTROBINE,AZOXYSTROBINE,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,INDUSTRIAS AFRAZA ALBAUGH EUROPE
AMISULBROM,LEIMAY 20 SC,EL MOUSSEM AGRICOLE,NISSAN CHEMICAL EUROPE SAS/ARYSTA LIFESCIENCES,AMISULBROM,AMISULBROM,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEM,NISSAN EUROPE ARYSTA LIFESCIENCES
BACILLUS THURINGIENSIS SUBSP-KURSTAKISOUCHE EG-2348,LEPINOX PLUS WP,COTUGRAIN,CBC (EUROPE)/BIOGARD,BACILLUS THURINGIENSIS SUBSP-KURSTAKISOUCHE EG-2348,BACILLUS THURINGIENSIS SUBSP-KURSTAKISOUCHE EG-2348,N/A,N/A,N/A,N/A,N/A,N/A,COTUGRAIN,CBC EUROPE BIOGARD
LUFENURON,LIBERO,NEGANOR,JINGBO AGROCHEMICALS,LUFENURON,LUFENURON,N/A,N/A,N/A,N/A,N/A,N/A,NEGANOR,JINGBO
METALDEHYDE,LIMAGRAM,EL KHADRA,SIPCAM INAGRA,METALDEHYDE,METALDEHYDE,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,SIPCAM INAGRA
CHLORPYRIPHOS ETHYL,LORSBAN 5G,INNOVA,DOW AGROSCIENCES,CHLORPYRIPHOS ETHYL,CHLORPYRIPHOS ETHYL,N/A,N/A,N/A,N/A,N/A,N/A,INNOVA,DOW AGROSCIENCES
FOSETYL –AL,LOTUS,SANABEL AGRO,NUFARM,FOSETYL –AL,FOSETYL –AL,N/A,N/A,N/A,N/A,N/A,N/A,SANABEL AGRO,NUFARM
HUILE MINÉRALE,LUMIERE EC,COTUGRAIN,TOTALENERGIES FLUIDES A TRAVERS KOPPERT,HUILE MINÉRALE,HUILE MINÉRALE,N/A,N/A,N/A,N/A,N/A,N/A,COTUGRAIN,TOTALENERGIES FLUIDES A TRAVERS KOPPERT
FLUOPYRAM + TEBUCONAZOLE,LUNA EXPERIENCE 400 SC,SEPCM,BAYER CROPSCIENCE,FLUOPYRAM,FLUOPYRAM,TEBUCONAZOLE,TEBUCONAZOLE,N/A,N/A,N/A,N/A,SEPCM,BAYER CROPSCIENCE
FLUOPYRAM + TRIFLOXYSTROBINE,LUNA SENSATION,ATLAS AGRICOLE,BAYER CROPSCIENCE,FLUOPYRAM,FLUOPYRAM,TRIFLOXYSTROBINE,TRIFLOXYSTROBINE,N/A,N/A,N/A,N/A,ATLAS AGRICOLE,BAYER CROPSCIENCE
METIRAME DE ZINC,LUTIRAM WG,AGRIPROTEC,BASF,METIRAME DE ZINC,METIRAME DE ZINC,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,BASF
TRIBENURON-METHYL,LUXOR,SANABEL AGRO,SHARDA CROPCHEM LIMITED INDE,TRIBENURON-METHYL,TRIBENURON-METHYL,N/A,N/A,N/A,N/A,N/A,N/A,SANABEL AGRO,SHARDA CROPCHEM INDE
HYDROLYSAT DE PROTÉINES,LYSATEX,SEPCM,SYNTHRON SAS,HYDROLYSAT DE PROTÉINES,HYDROLYSAT DE PROTÉINES,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,SYNTHRON
DITHIANON + PYRACHLOSTROBIN,MACCANI,COTUGRAIN IMPEX,BASF,DITHIANON,DITHIANON,PYRACHLOSTROBIN,PYRACHLOSTROBIN,N/A,N/A,N/A,N/A,COTUGRAIN IMPEX,BASF
PROTHIOCONAZOLE + TRIFLOXYSTROBINE,MADISON 263 SC,SEPCM,BAYER CROPSCIENCE,PROTHIOCONAZOLE,PROTHIOCONAZOLE,TRIFLOXYSTROBINE,TRIFLOXYSTROBINE,N/A,N/A,N/A,N/A,SEPCM,BAYER CROPSCIENCE
METRIBUZINE,MAESTRO 75 WG,BIOPROTECTION,AAKO,METRIBUZINE,METRIBUZINE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,AAKO
PYRIPROXYFEN,MAGIC EC,FERTITECH,HANGZHOU TOPAGRO BIOSCIENCE,PYRIPROXYFEN,PYRIPROXYFEN,N/A,N/A,N/A,N/A,N/A,N/A,FERTITECH,HANGZHOU TOPAGRO BIOSCIENCE
FENAZAQUIN,MAGISTER,SEPCM,GOWAN ESPAGNE,FENAZAQUIN,FENAZAQUIN,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,GOWAN ESPAGNE
FOSETHYL-AL +CYMOXANIL +FOLPET,MAGMA TRIPLE,EL KHADRA,INDUSTRIAS AFRAZA/ALBAUGH EUROPE SARL,FOSETHYL-AL,FOSETHYL-AL,CYMOXANIL,CYMOXANIL,FOLPET,FOLPET,N/A,N/A,EL KHADRA,INDUSTRIAS AFRAZA ALBAUGH EUROPE
PHOSPHURE DE MAGNÉSIUM +PHOSPHURE D'HY.,MAGNAPHOS,PROTAGRI,UNITED PHOSPHORUS LTD,PHOSPHURE DE MAGNÉSIUM,PHOSPHURE DE MAGNÉSIUM,PHOSPHURE D'HY.,PHOSPHURE D'HY.,N/A,N/A,N/A,N/A,PROTAGRI,UNITED PHOSPHORUS
"DELTAMETRINE+ACETATE D’AMMONIUM+TRIMETHYLAMINE HCL+1,4DIAMINOBUTANE (=PUTRESCINE)",MAGNET MED,NUTRIPLANT,KOPPERT,DELTAMETRINE,DELTAMETRINE,ACETATE D’AMMONIUM,ACETATE D’AMMONIUM,TRIMETHYLAMINE HCL,TRIMETHYLAMINE HCL,"1,4DIAMINOBUTANE (=PUTRESCINE)","1,4DIAMINOBUTANE (=PUTRESCINE)",NUTRIPLANT,KOPPERT
SPIROTETRAMAT,MAGNUS SC,STEC,AAKO,SPIROTETRAMAT,SPIROTETRAMAT,N/A,N/A,N/A,N/A,N/A,N/A,STEC,AAKO
MALATHION,MALATHION 96,SEPCM,CHEMINOVA,MALATHION,MALATHION,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,CHEMINOVA
CAPTANE,MALVIN80 WG,BIOPROTECTION,UPL/ARYSTA LIFESCIENCE,CAPTANE,CAPTANE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,UPL ARYSTA LIFESCIENCE
GLYPHOSATE,MAMBA 360 SL,INNOVA,DOW AGROSCIENCES,GLYPHOSATE,GLYPHOSATE,N/A,N/A,N/A,N/A,N/A,N/A,INNOVA,DOW AGROSCIENCES
MANCOZÉBE,MANCOFLASH,RAYEN PHYTAGRI,INDOFIL,MANCOZÉBE,MANCOZÉBE,N/A,N/A,N/A,N/A,N/A,N/A,RAYEN PHYTAGRI,INDOFIL
CARBANDAZIME,MANDARIN,SANABEL AGRO,SINON CORPORATION/ TAIWAN,CARBANDAZIME,CARBANDAZIME,N/A,N/A,N/A,N/A,N/A,N/A,SANABEL AGRO,SINON CORPORATION TAIWAN
MANÈBE,MANKEY,ETS. MEZGHANI,INDUST. QUIMICA KEY,MANÈBE,MANÈBE,N/A,N/A,N/A,N/A,N/A,N/A,ETS MEZGHANI,INDUST QUIMICA KEY
LAMBDA-CYHALOTHRINE,MARKATE,AMINCO,GLOBACHEM,LAMBDA-CYHALOTHRINE,LAMBDA-CYHALOTHRINE,N/A,N/A,N/A,N/A,N/A,N/A,AMINCO,GLOBACHEM
PROPICONAZOLE,MATADOR PLUS EC,AGRIPLUS,NINGBO SUNJOY AGROSCIENCE INDUSTRY,PROPICONAZOLE,PROPICONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPLUS,NINGBO SUNJOY AGROSCIENCE INDUSTRY
TÉBUCONAZOLE,MATIZ,SANABEL AGRO,ROTAM AGROCHEMICAL,TÉBUCONAZOLE,TÉBUCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,SANABEL AGRO,ROTAM
CHROMAFÉNOZIDE,MATRIC,BIOPROTECTION,UPL/ARYSTA LIFESCIENCE,CHROMAFÉNOZIDE,CHROMAFÉNOZIDE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,UPL ARYSTA LIFESCIENCE
METRIBUZINE,MAYA,SLDA,UPL,METRIBUZINE,METRIBUZINE,N/A,N/A,N/A,N/A,N/A,N/A,SLDA,UPL
GLYPHOSATE,MAYNOZATE,AMINCO,AGRIA SA,GLYPHOSATE,GLYPHOSATE,N/A,N/A,N/A,N/A,N/A,N/A,AMINCO,AGRIA SA
MANCOZÈBE,MAYNOZEBE,AMINCO,AGRIA SA,MANCOZÈBE,MANCOZÈBE,N/A,N/A,N/A,N/A,N/A,N/A,AMINCO,AGRIA SA
ABAMECTINE,MECTINE PRO,JADWA AGROTEC,AAKO BV,ABAMECTINE,ABAMECTINE,N/A,N/A,N/A,N/A,N/A,N/A,JADWA AGROTEC,AAKO BV
DIFENOCONAZOLE +CYFLUFENAMID,MELCAR TOP 140 DC,COTUGRAIN IMPEX,SYNGENTA,DIFENOCONAZOLE,DIFENOCONAZOLE,CYFLUFENAMID,CYFLUFENAMID,N/A,N/A,N/A,N/A,COTUGRAIN IMPEX,SYNGENTA
CYPROCONAZOLE + PROPICINAZOLE,MENARA 410 EC,AGRIPROTEC,SYNGENTA,CYPROCONAZOLE,CYPROCONAZOLE,PROPICINAZOLE,PROPICINAZOLE,N/A,N/A,N/A,N/A,AGRIPROTEC,SYNGENTA
