SUBSTANCE(S) ACTIVE(S),P.COMM,SOCIÉTÉ,FABRICANT,SUBSTANCE_ACTIVE_1,SUBSTANCE_UNIT_1,SUBSTANCE_ACTIVE_2,SUBSTANCE_UNIT_2,SUBSTANCE_ACTIVE_3,SUBSTANCE_UNIT_3,SUBSTANCE_ACTIVE_4,SUBSTANCE_UNIT_4,SOCIÉTÉ_CANONIQUE,FABRICANT_CANONIQUE
PROTHIOCONAZOLE,MIRAGE EC,SHARDA CROPCHEM LIMITED TUNISIE,SHARDA CROPCHEM LIMITED INDE,PROTHIOCONAZOLE,PROTHIOCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,SHARDA CROPCHEM,SHARDA CROPCHEM INDE
ADEPIDYN+ DIFENOCONAZOLE,MIRAVIS DUO SC,BIOPROTECTION,ARYSTA LIFESCIENCES,ADEPIDYN,ADEPIDYN,DIFENOCONAZOLE,DIFENOCONAZOLE,N/A,N/A,N/A,N/A,BIOPROTECTION,ARYSTA LIFESCIENCES
SOUFRE,MISTRAL,BIOPROTECTION,ESSECO SARL/AAKO,SOUFRE,SOUFRE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,ESSECO AAKO
FENPYROXIMATE,MITACID,INNOVA,SIPCAM INAGRA (ANCIENTFABRICANT: NIHON NOHYAKU CO. LTD),FENPYROXIMATE,FENPYROXIMATE,N/A,N/A,N/A,N/A,N/A,N/A,INNOVA,SIPCAM INAGRA ANCIENTFABRICANT NIHON NOHYAKU
CAPTANE,MITANE,SOCOOPEC,SHARDA,CAPTANE,CAPTANE,N/A,N/A,N/A,N/A,N/A,N/A,SOCOOPEC,SHARDA
ETHOPROPHOS,MOCAP,SEPCM,AMVAC CHEMICAL CORPORATION),ETHOPROPHOS,ETHOPROPHOS,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,AMVAC CORPORATION
SULFATE DE CUIVRE TRIBASIQUE + CYMOXANIL,MOLTOVIN,BIOPROTECTION,NUFARM,SULFATE DE CUIVRE TRIBASIQUE,SULFATE DE CUIVRE TRIBASIQUE,CYMOXANIL,CYMOXANIL,N/A,N/A,N/A,N/A,BIOPROTECTION,NUFARM
PENCYCURON,MONCEREN,PROMOCHIMIE,BAYER,PENCYCURON,PENCYCURON,N/A,N/A,N/A,N/A,N/A,N/A,PROMOCHIMIE,BAYER
FLUOPYRAM + TEBUCONAZOLE,MOON EXPERIENCE SC,ATLAS AGRICOLE,BAYER CROPSCIENCE,FLUOPYRAM,FLUOPYRAM,TEBUCONAZOLE,TEBUCONAZOLE,N/A,N/A,N/A,N/A,ATLAS,BAYER CROPSCIENCE
CHLOROTHALONIL,MORFUS 720 SC,SANABEL AGRO,ROTAM AGROCHEMICAL,CHLOROTHALONIL,CHLOROTHALONIL,N/A,N/A,N/A,N/A,N/A,N/A,SANABEL AGRO,ROTAM
DIMETOMORPHE +FOLPEL,MORPHEE 71.3 WG,BIOPROTECTION,AAKO,DIMETOMORPHE,DIMETOMORPHE,FOLPEL,FOLPEL,N/A,N/A,N/A,N/A,BIOPROTECTION,AAKO
SPIROTETRAMAT,MOVENTO 150 OD,ATLAS AGRICOLE,BAYER CROPSCIENCE,SPIROTETRAMAT,SPIROTETRAMAT,N/A,N/A,N/A,N/A,N/A,N/A,ATLAS,BAYER CROPSCIENCE
PYRIPROXYFENE,MULIGAN,AGRIPROTEC,PROPLAN,PYRIPROXYFENE,PYRIPROXYFENE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,PROPLAN
ETHAMETSULFURON METHYL,MUSTER 75 WG,SSCC,FMC,ETHAMETSULFURON METHYL,ETHAMETSULFURON METHYL,N/A,N/A,N/A,N/A,N/A,N/A,SSCC,FMC
MYCLOBUTANIL,MYCLONE 24 EC,RAYENPHYTAGRI,SHARDA CROPCHEM LIMITED INDE,MYCLOBUTANIL,MYCLOBUTANIL,N/A,N/A,N/A,N/A,N/A,N/A,RAYENPHYTAGRI,SHARDA CROPCHEM INDE
TEBUCONAZOLE,MYCOSEEDS FS 60,EL KHADRA,SHARDA WORLD WIDE,TEBUCONAZOLE,TEBUCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,SHARDA WORLD WIDE
SPORES DE LECANICILLUMMUSCARIUM SOUCHE 1979,MYCOTAL WG,NUTRIPLANT,KOPPERT BIOLOGICAL SYSTEM,SPORES DE LECANICILLUMMUSCARIUM SOUCHE 1979,SPORES DE LECANICILLUMMUSCARIUM SOUCHE 1979,N/A,N/A,N/A,N/A,N/A,N/A,NUTRIPLANT,KOPPERT BIOLOGICAL SYSTEM
TEBUCONAZOLE +PROCHLORAZ,MYSTIC PRO,AGRIPROTEC,NUFARM SAS,TEBUCONAZOLE,TEBUCONAZOLE,PROCHLORAZ,PROCHLORAZ,N/A,N/A,N/A,N/A,AGRIPROTEC,NUFARM
FLUAZINAM,NANDO,BIOPROTECTION,NUFARM,FLUAZINAM,FLUAZINAM,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,NUFARM
DIFENOCONAZOLE,NANJI 250 EC,STEC,JIANGSU FENGDENG(FAB),DIFENOCONAZOLE,DIFENOCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,STEC,JIANGSU FENGDENG FAB
DIFENOCONAZOLE+PROPICONAZOLE,NANJI PLUS EC,STEC,JIANGYIN FENGDENG CROP SCIENCE CO,DIFENOCONAZOLE,DIFENOCONAZOLE,PROPICONAZOLE,PROPICONAZOLE,N/A,N/A,N/A,N/A,STEC,JIANGYIN FENGDENG
GLYPHOSATE,NASA 36 SL,SOCOOPEC,ZENITH CROPSCIENCES/AGRIA,GLYPHOSATE,GLYPHOSATE,N/A,N/A,N/A,N/A,N/A,N/A,SOCOOPEC,ZENITH CROPSCIENCES AGRIA
TÉBUCONAZOLE + TRIFLOXYSTROBINE,NATIVO 300 SC,STEC,BAYER CROPSCIENCE,TÉBUCONAZOLE,TÉBUCONAZOLE,TRIFLOXYSTROBINE,TRIFLOXYSTROBINE,N/A,N/A,N/A,N/A,STEC,BAYER CROPSCIENCE
SPIROTETRAMAT,NATRAMAT 240SC,AGRIPROTEC,JIANGSU UNITED AGROCHEMICAL,SPIROTETRAMAT,SPIROTETRAMAT,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,JIANGSU UNITED
BEAUVERIA BASSIANA STRAIN ATCC 74040,NATURALIS,COTUGRAIN,CBC EUROPE/ITALIE,BEAUVERIA BASSIANA STRAIN ATCC 74040,BEAUVERIA BASSIANA STRAIN ATCC 74040,N/A,N/A,N/A,N/A,N/A,N/A,COTUGRAIN,CBC EUROPE ITALIE
BEAUVERIA BASSIANA STRAIN ATCC 74040,NATURALIS SC,COTUGRAIN,CBC EUROPE,BEAUVERIA BASSIANA STRAIN ATCC 74040,BEAUVERIA BASSIANA STRAIN ATCC 74040,N/A,N/A,N/A,N/A,N/A,N/A,COTUGRAIN,CBC EUROPE
CLODINAFOP-PROPAGYL + CLOQUINTOCET-MEXYL,NAVIGATOR,BIOPROTECTION,SYNGENTA,CLODINAFOP-PROPAGYL,CLODINAFOP-PROPAGYL,CLOQUINTOCET-MEXYL,CLOQUINTOCET-MEXYL,N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA
GARLIC EXTRACT,NEM GUARD SC,STIMA,ECOSPRAY LIMITED,GARLIC EXTRACT,GARLIC EXTRACT,N/A,N/A,N/A,N/A,N/A,N/A,STIMA,ECOSPRAY
PHENAMIPHOS,NEMACUR 10 G,PROMOCHIMIE,AMVAC CHEMICAL CORPORATION,PHENAMIPHOS,PHENAMIPHOS,N/A,N/A,N/A,N/A,N/A,N/A,PROMOCHIMIE,AMVAC CORPORATION
CHLORPROPHAME,NEO STOP,PROTAGRI,AGRIPHAR,CHLORPROPHAME,CHLORPROPHAME,N/A,N/A,N/A,N/A,N/A,N/A,PROTAGRI,AGRIPHAR
CHLOROPROPHAME,NEOSTOP 500 HN,PROTAGRI,AGRIPHAR,CHLOROPROPHAME,CHLOROPROPHAME,N/A,N/A,N/A,N/A,N/A,N/A,PROTAGRI,AGRIPHAR
PYRIDABÈNE,NEXTER 10 SC,AGRIPROTEC,NISSAN CHEMICAL CORPORATION/ BASF,PYRIDABÈNE,PYRIDABÈNE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,NISSAN CORPORATION BASF
"2,4-D ACIDE +FLORASULAM",NIKOS 306 SE,ATLAS AGRICOLE,DOW AGROSCIENCES/CORTEVA,"2,4-D ACIDE","2,4-D ACIDE",FLORASULAM,FLORASULAM,N/A,N/A,N/A,N/A,ATLAS,DOW AGROSCIENCES CORTEVA
AMINOPYRALYDES + FLORASULAM + 2.4 D EHE,NIKOS FORTE,ATLAS AGRICOLE,DOW AGROSCIENCES,AMINOPYRALYDES,AMINOPYRALYDES,FLORASULAM,FLORASULAM,2.4 D EHE,2.4 D EHE,N/A,N/A,ATLAS,DOW AGROSCIENCES
"AZADIRACHTINE (0,03 %) + HUILE DE NEEM",NIMBICIDINE,TASMID,T. STANES &CO.LTD.,"AZADIRACHTINE (0,03 %)","AZADIRACHTINE (0,03 %)",HUILE DE NEEM,HUILE DE NEEM,N/A,N/A,N/A,N/A,TASMID,T STANES
BUPIRIMATE,NIMROD,SEPCM,AAKO BV,BUPIRIMATE,BUPIRIMATE,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,AAKO BV
METARHIZIUMRILEYI STRAIN,NOMU-PROTEC,ALOHA,ANDERMATT PHP (PTY) AFRIQUE DE SUD,METARHIZIUMRILEYI STRAIN,METARHIZIUMRILEYI STRAIN,N/A,N/A,N/A,N/A,N/A,N/A,ALOHA,ANDERMATT PHP PTY AFRIQUE DE SUD
HUILE ESSENTIELLE DE THYM (THYMOL),NOPATH EW,NUTRIPLANT,KOPPERT BIOLOGICAL SYSTEM,HUILE ESSENTIELLE DE THYM (THYMOL),HUILE ESSENTIELLE DE THYM (THYMOL),N/A,N/A,N/A,N/A,N/A,N/A,NUTRIPLANT,KOPPERT BIOLOGICAL SYSTEM
SULFATE DE CUIVRE TRIBASIQUE,NOVICURE,PROTAGRI,UPL,SULFATE DE CUIVRE TRIBASIQUE,SULFATE DE CUIVRE TRIBASIQUE,N/A,N/A,N/A,N/A,N/A,N/A,PROTAGRI,UPL
TRIBENURON-METHYL,NUANCE,AGROSYSTEMES,CHEMINOVA,TRIBENURON-METHYL,TRIBENURON-METHYL,N/A,N/A,N/A,N/A,N/A,N/A,AGROSYSTEMES,CHEMINOVA
2.4-D +GLYPHOSPHATE,NUFOSATESL,AGRIPROTEC,NUFARM,2.4-D,2.4-D,GLYPHOSPHATE,GLYPHOSPHATE,N/A,N/A,N/A,N/A,AGRIPROTEC,NUFARM
ABAMECTINE,NUMECTIN,AGRIPROTEC,NUFARM FRANCE,ABAMECTINE,ABAMECTINE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,NUFARM
EPOXICONAZOLE,NUPOXYN,EL MOUSSEM AGRICOLE,NUFARM,EPOXICONAZOLE,EPOXICONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEM,NUFARM
SPIROMESIFEN,OBERON 240 SC,ATLAS AGRICOLE,BAYER CROPSCIENCE,SPIROMESIFEN,SPIROMESIFEN,N/A,N/A,N/A,N/A,N/A,N/A,ATLAS,BAYER CROPSCIENCE
EPOXICONAZOLE + KRESOXIM METHYL,OGAM,STIMA,BASF-ESPAGNOLA,EPOXICONAZOLE,EPOXICONAZOLE,KRESOXIM METHYL,KRESOXIM METHYL,N/A,N/A,N/A,N/A,STIMA,BASF ESPAGNOLA
AZADIRACHTINE 32 G/L,OIKOS MAX,EL KHADRA,SIPCAM INAGRA,AZADIRACHTINE 32 G/L,AZADIRACHTINE 32 G/L,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,SIPCAM INAGRA
HUILE DE PARAFFINIQUE,OLEO CAP EC,NEGANOR,LAINCO,HUILE DE PARAFFINIQUE,HUILE DE PARAFFINIQUE,N/A,N/A,N/A,N/A,N/A,N/A,NEGANOR,LAINCO
HUILE D’ESSENCE D’ORANGE,OLEORA EC,BIOPROTECTION,UPL,HUILE D’ESSENCE D’ORANGE,HUILE D’ESSENCE D’ORANGE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,UPL
PROMOCARB,OMIX 607 SL,NEGANOR,AGRIA,PROMOCARB,PROMOCARB,N/A,N/A,N/A,N/A,N/A,N/A,NEGANOR,AGRIA
PROMOCARB +CYMOXANIL,OMIX DUO 450 SC,NEGANOR,AGRIA,PROMOCARB,PROMOCARB,CYMOXANIL,CYMOXANIL,N/A,N/A,N/A,N/A,NEGANOR,AGRIA
PYRACLOSTROBINE METCONAZOLE,OPTIMO DUO EC,AGRIPROTEC,BASF,PYRACLOSTROBINE METCONAZOLE,PYRACLOSTROBINE METCONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,BASF
FOSETHYL-AL +SULFATE DE CUIVRE TRIBASIQUE,OPTIX R WG,BIOPROTECTION,UPL,FOSETHYL-AL,FOSETHYL-AL,SULFATE DE CUIVRE TRIBASIQUE,SULFATE DE CUIVRE TRIBASIQUE,N/A,N/A,N/A,N/A,BIOPROTECTION,UPL
EPOXICONAZOLE,OPUS,STIMA,BASF,EPOXICONAZOLE,EPOXICONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,STIMA,BASF
EPOXICONAZOLE,ORAGE,SANABEL AGRO,SINON CORPORATION,EPOXICONAZOLE,EPOXICONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,SANABEL AGRO,SINON CORPORATION
PYRACLOSTROBIN +FLUXAPYROXAD,ORKESTRA SC,BIOPROTECTION,BASF,PYRACLOSTROBIN,PYRACLOSTROBIN,FLUXAPYROXAD,FLUXAPYROXAD,N/A,N/A,N/A,N/A,BIOPROTECTION,BASF
MANDIPROPAMID + OXATHIAPIPROLIN,ORONDIS ULTRA280 SC,COTUGRAIN,SYNGENTA CROP PROTECTION,MANDIPROPAMID,MANDIPROPAMID,OXATHIAPIPROLIN,OXATHIAPIPROLIN,N/A,N/A,N/A,N/A,COTUGRAIN,SYNGENTA
BORAX,OROTUN,RAYEN PHYTAGRI,ORO AGRI,BORAX,BORAX,N/A,N/A,N/A,N/A,N/A,N/A,RAYEN PHYTAGRI,ORO AGRI
AZOXYSTROBINE +DIFENOCONAZOLE,ORTIVA TOP,SLOGRI,SYNGENTA,AZOXYSTROBINE,AZOXYSTROBINE,DIFENOCONAZOLE,DIFENOCONAZOLE,N/A,N/A,N/A,N/A,SLOGRI,SYNGENTA
AMETOCTRADIN + DIMETHOMORPH,ORVEGO,AGRIPROTEC,BASF,AMETOCTRADIN,AMETOCTRADIN,DIMETHOMORPH,DIMETHOMORPH,N/A,N/A,N/A,N/A,AGRIPROTEC,BASF
ACRINATHRINE,ORYTIS,ATLAS AGRICOLE,CHEMINOVA,ACRINATHRINE,ACRINATHRINE,N/A,N/A,N/A,N/A,N/A,N/A,ATLAS,CHEMINOVA
EPOXICONAZOLE + METCONAZOLE,OSIRIS,AGRIPROTEC,BASF,EPOXICONAZOLE,EPOXICONAZOLE,METCONAZOLE,METCONAZOLE,N/A,N/A,N/A,N/A,AGRIPROTEC,BASF
CUIVRE MÉTAL,OSSICLOR 50 PB MANICA,ATLAS AGRICOLE,MANICA SPA,CUIVRE MÉTAL,CUIVRE MÉTAL,N/A,N/A,N/A,N/A,N/A,N/A,ATLAS,MANICA
HUILE MINÉRALE,OVIPHYT,ATLAS INDUSTRIE,COMPTOIR COMMERCIAL DES LUBRIFIANTS/S ANGOSSE,HUILE MINÉRALE,HUILE MINÉRALE,N/A,N/A,N/A,N/A,N/A,N/A,ATLAS INDUSTRIE,COMPTOIR COMMERCIAL DES LUBRIFIANTS S ANGOSSE
HUILE DE PARAFFINE,OVIPRON TOP,BIOPROTECTION,UPL,HUILE DE PARAFFINE,HUILE DE PARAFFINE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,UPL
INDOXACARBE,OXAL SC,NEGANOR,JINGBOAGROCHEMICALS TECHNOLOGIE,INDOXACARBE,INDOXACARBE,N/A,N/A,N/A,N/A,N/A,N/A,NEGANOR,JINGBOAGROCHEMICALS TECHNOLOGIE
OXYFLUORFENE,OXISTAR 24%,SOCOOPEC,ZHEJIANG E-TONG CHEMICAL CO LTD,OXYFLUORFENE,OXYFLUORFENE,N/A,N/A,N/A,N/A,N/A,N/A,SOCOOPEC,ZHEJIANG E-TONG CHEMICAL CO LTD
PYROXSULAM,PALLAS 45 OD,SEPCM,DOW AGROSCIENCES,PYROXSULAM,PYROXSULAM,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,DOW AGROSCIENCES
HYDROXYDE DE CUIVRE,PATROL 50 WP,AMINCO,SPEISS URANIA/COSACO GMBH,HYDROXYDE DE CUIVRE,HYDROXYDE DE CUIVRE,N/A,N/A,N/A,N/A,N/A,N/A,AMINCO,SPEISS URANIA COSACO
DIAFENTHIURON,PEGASUS 500 SC,BIOPROTECTION,SYNGENTA,DIAFENTHIURON,DIAFENTHIURON,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA
THIOPHANATE-MÉTHYL,PELT 500 SC,ATLAS AGRICOLE,BAYER AG.,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,N/A,N/A,N/A,N/A,N/A,N/A,ATLAS,BAYER AG
PROTHIOCONAZOLE + TEBUCONAZOLE,PERFECTO EC,SHARDA CROPCHEM TUNISIE,SHARDA CROPCHEM,PROTHIOCONAZOLE,PROTHIOCONAZOLE,TEBUCONAZOLE,TEBUCONAZOLE,N/A,N/A,N/A,N/A,SHARDA CROPCHEM,SHARDA CROPCHEM
MANDIPROPAMIDE + MANCOZEBE,PERGADO MZ 65 WG,AGRIPROTEC,SYNGENTA,MANDIPROPAMIDE,MANDIPROPAMIDE,MANCOZEBE,MANCOZEBE,N/A,N/A,N/A,N/A,AGRIPROTEC,SYNGENTA
HUILE MINÉRALE,PETROIL,SOCOOPEC,PETRONAS LUBRICANTS,HUILE MINÉRALE,HUILE MINÉRALE,N/A,N/A,N/A,N/A,N/A,N/A,SOCOOPEC,PETRONAS LUBRICANTS
GLYPHOSATE,PHARON,INNOVA,NUFARM S.A,GLYPHOSATE,GLYPHOSATE,N/A,N/A,N/A,N/A,N/A,N/A,INNOVA,NUFARM S A
"(E,Z,Z)-3,8,11TETRADECATRIEN 1-Y ACETATE (E,Z)-3,8TETRADECATRIEN1- Y ACETATE",PHERODIS TUTA ABSOLUTA,NUTRIPLANT,KOPPERT,"(E,Z,Z)-3,8,11TETRADECATRIEN 1-Y ACETATE (E,Z)-3,8TETRADECATRIEN1- Y ACETATE","(E,Z,Z)-3,8,11TETRADECATRIEN 1-Y ACETATE (E,Z)-3,8TETRADECATRIEN1- Y ACETATE",N/A,N/A,N/A,N/A,N/A,N/A,NUTRIPLANT,KOPPERT
E3Z8Z11-14AC + BHT,PHERONORM-TUTA,STIMA,ANDERMATT BIOCONTROL AG,E3Z8Z11-14AC,E3Z8Z11-14AC,BHT,BHT,N/A,N/A,N/A,N/A,STIMA,ANDERMATT BIOCONTROL AG
ACÉTATE D'AMMONIUM MIN 8.75 G/SACHET +TRIMETHYLAMINEHYDROCHLORIDE 1.25 G/SACHET + DIAMINUBUTANE 0.04 G/SACHET +KILLDISC INSECTICIDE À BASE D'ESFENVALERATE 0.04 G/PIÉGE,PHEROSANCERATITIS,NUTRIPLANT,SANSAN PRODESING/,ACÉTATE D'AMMONIUM MIN 8.75 G/SACHET,ACÉTATE D'AMMONIUM MIN 8.75 G/SACHET,TRIMETHYLAMINEHYDROCHLORIDE 1.25 G/SACHET,TRIMETHYLAMINEHYDROCHLORIDE 1.25 G/SACHET,DIAMINUBUTANE 0.04 G/SACHET,DIAMINUBUTANE 0.04 G/SACHET,KILLDISC INSECTICIDE À BASE D'ESFENVALERATE 0.04 G/PIÉGE,KILLDISC INSECTICIDE À BASE D'ESFENVALERATE 0.04 G/PIÉGE,NUTRIPLANT,SANSAN PRODESING
POLYOXYETHYLENE AMINE,PHYDEAL SL,FERTIPLANT,SDP/FRANCE,POLYOXYETHYLENE AMINE,POLYOXYETHYLENE AMINE,N/A,N/A,N/A,N/A,N/A,N/A,FERTIPLANT,SDP
FLUOPICOLIDE + PROPAMOCARBHYDROCHLORIDE,PICOCARB SC,UNIAGRO,SHANDONG WEIFANG,FLUOPICOLIDE,FLUOPICOLIDE,PROPAMOCARBHYDROCHLORIDE,PROPAMOCARBHYDROCHLORIDE,N/A,N/A,N/A,N/A,UNIAGRO,SHANDONG WEIFANG
PYRACLOSTROBINE +TEBUCONAZOLE,PILARTEP SC,RAYEN PHYTAGRI,PILARQUIIM (JIANGSU) CO.LTD CHINE,PYRACLOSTROBINE,PYRACLOSTROBINE,TEBUCONAZOLE,TEBUCONAZOLE,N/A,N/A,N/A,N/A,RAYEN PHYTAGRI,PILARQUIIM JIANGSU CHINE
PYRETHRINS,PIRECRIS,ATLAS AGRICOLE,SEIPASAS.A,PYRETHRINS,PYRETHRINS,N/A,N/A,N/A,N/A,N/A,N/A,ATLAS,SEIPASAS A
PYRETHRINS,PIRETRO VERDE,STIMA,COPYR S.P.A,PYRETHRINS,PYRETHRINS,N/A,N/A,N/A,N/A,N/A,N/A,STIMA,COPYR S P A
PYRIMICARBE,PIRI,AGROSYSTEMES,GLOBACHEM,PYRIMICARBE,PYRIMICARBE,N/A,N/A,N/A,N/A,N/A,N/A,AGROSYSTEMES,GLOBACHEM
INDOXACARB,PIXEL SC,FERTITECH,TOPAGRO BIOSCIENCE,INDOXACARB,INDOXACARB,N/A,N/A,N/A,N/A,N/A,N/A,FERTITECH,TOPAGRO BIOSCIENCE
HUILE MINÉRALE,PLANT OIL,STE EL KHADRA,INDUSTRIAS AFRAZA/ALBAU GH EUROPE SARL,HUILE MINÉRALE,HUILE MINÉRALE,N/A,N/A,N/A,N/A,N/A,N/A,STE EL KHADRA,INDUSTRIAS AFRAZA ALBAU GH EUROPE
MANÈBE,PLANTINEB 80WP,SANABEL AGRO,UPL,MANÈBE,MANÈBE,N/A,N/A,N/A,N/A,N/A,N/A,SANABEL AGRO,UPL
PROPICONAZOLE,PLAZMA,AGRIPLUS,NINGBO SUNJOY AGROSCIENCE INDUSTRY,PROPICONAZOLE,PROPICONAZOLE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPLUS,NINGBO SUNJOY AGROSCIENCE INDUSTRY
CYANTRANILIPROLE + ACIBENZOLAR-S-METHYL,PLESIVA ALPHA SC,BIOPROTECTION,SYNGENTA,CYANTRANILIPROLE,CYANTRANILIPROLE,ACIBENZOLAR-S-METHYL,ACIBENZOLAR-S-METHYL,N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA
CHLORANTRANILIPROLE + LAMBDACYHALOTHRIN,PLIGO ZC,NEGANOR FFT,SHANDONG WEIFANG RAINBOW CHEMICAL CO.LTD,CHLORANTRANILIPROLE,CHLORANTRANILIPROLE,LAMBDACYHALOTHRIN,LAMBDACYHALOTHRIN,N/A,N/A,N/A,N/A,NEGANOR FFT,SHANDONG WEIFANG RAINBOW
FLUTRIAFOL + TÉBUCONAZOLE,POINTER DUO,AGROSYSTEMES,CHEMINOVA/FMC,FLUTRIAFOL,FLUTRIAFOL,TÉBUCONAZOLE,TÉBUCONAZOLE,N/A,N/A,N/A,N/A,AGROSYSTEMES,CHEMINOVA FMC
LAMBDA-CYHALOTHRINE,POINTER100 CS,INNOVA,SIPCAM INAGRA,LAMBDA-CYHALOTHRINE,LAMBDA-CYHALOTHRINE,N/A,N/A,N/A,N/A,N/A,N/A,INNOVA,SIPCAM INAGRA
DIFLUFENICAN + METSULFURON-MÉTHYL,POLYMER WG,AGRIPROTEC,NUFARM S.A,DIFLUFENICAN,DIFLUFENICAN,METSULFURON-MÉTHYL,METSULFURON-MÉTHYL,N/A,N/A,N/A,N/A,AGRIPROTEC,NUFARM S A
METIRAME DE ZINC,POLYRAM DF,STIMA,BASF,METIRAME DE ZINC,METIRAME DE ZINC,N/A,N/A,N/A,N/A,N/A,N/A,STIMA,BASF
ACETAMEPRID,POLYSECT,SOCOOPEC,SHARDA,ACETAMEPRID,ACETAMEPRID,N/A,N/A,N/A,N/A,N/A,N/A,SOCOOPEC,SHARDA
CHLORANTRANILIPROLE +LAMBDA-CYHALOTHRINE,POLYVALENT SC,STÉ EL KHADRA,"EASTCHEM CO,LTD CHINE",CHLORANTRANILIPROLE,CHLORANTRANILIPROLE,LAMBDA-CYHALOTHRINE,LAMBDA-CYHALOTHRINE,N/A,N/A,N/A,N/A,STE EL KHADRA,EASTCHEM CHINE
PYTHIUM OLIGANDRUM,POLYVERSUM,FERTIPLANT,BIOPREPARATY,PYTHIUM OLIGANDRUM,PYTHIUM OLIGANDRUM,N/A,N/A,N/A,N/A,N/A,N/A,FERTIPLANT,BIOPREPARATY
IPROVALICARBE + OXYCHLORURE DE CUIVRE,POSITRON 49,ATLAS AGRICOLE,BAYER CROPSCIENCE,IPROVALICARBE,IPROVALICARBE,OXYCHLORURE DE CUIVRE,OXYCHLORURE DE CUIVRE,N/A,N/A,N/A,N/A,ATLAS,BAYER CROPSCIENCE
ACETAMIPRID,POTEGON 20 SP,PLANETE VERTE,ASTRANOVA,ACETAMIPRID,ACETAMIPRID,N/A,N/A,N/A,N/A,N/A,N/A,PLANETE VERTE,ASTRANOVA
ABAMECTINE,POTENZA 1.8,SANABEL AGRO,SINON CORPORATION,ABAMECTINE,ABAMECTINE,N/A,N/A,N/A,N/A,N/A,N/A,SANABEL AGRO,SINON CORPORATION
INDOXACARB,POTER,PROTAGRI,NANJING AGROCHEMICA L,INDOXACARB,INDOXACARB,N/A,N/A,N/A,N/A,N/A,N/A,PROTAGRI,NANJING AGROCHEMICA L
LAMBDA CYHALOTHRIN,POWER WDG,FERTITECH,SHARDA,LAMBDA CYHALOTHRIN,LAMBDA CYHALOTHRIN,N/A,N/A,N/A,N/A,N/A,N/A,FERTITECH,SHARDA
BORAX,PREV-AM,EL MOUSSEM,ORO AGRI,BORAX,BORAX,N/A,N/A,N/A,N/A,N/A,N/A,EL MOUSSEM,ORO AGRI
PROPAMOCARBE + FOSETHYL- AL,PREVICUR ENERGY,EL MOUSSEM AGRICOLE,BAYER CROPSCIENCE,PROPAMOCARBE,PROPAMOCARBE,FOSETHYL- AL,FOSETHYL- AL,N/A,N/A,N/A,N/A,EL MOUSSEM,BAYER CROPSCIENCE
PROPAMOCARBE +FOSETHYL-AL,PREVICUR ENERGY,EL MOUSSEM,BAYER CROPSCIENCE,PROPAMOCARBE,PROPAMOCARBE,FOSETHYL-AL,FOSETHYL-AL,N/A,N/A,N/A,N/A,EL MOUSSEM,BAYER CROPSCIENCE
CYANTRANILIPROLE,PREZA OD,AGRIPROTEC,DU PONT/FMC,CYANTRANILIPROLE,CYANTRANILIPROLE,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,DU PONT FMC
FLUXAPYROXAD + PYRACLOSTROBINE,PRIAXOR SE,COTUGRAIN IMPEX,BASF,FLUXAPYROXAD,FLUXAPYROXAD,PYRACLOSTROBINE,PYRACLOSTROBINE,N/A,N/A,N/A,N/A,COTUGRAIN IMPEX,BASF
FENAZAQUIN,PRIDE 200,INNOVA,GOWAN ESPAGNE,FENAZAQUIN,FENAZAQUIN,N/A,N/A,N/A,N/A,N/A,N/A,INNOVA,GOWAN ESPAGNE
